source,name,sport,person_type,country_as_listed,taiwan_excluded,nationality_review,sanction,source_status,decision_url,named,resolved_or_announced_with_link,name_key,name_matches_existing,publication_approved
USADA,"James, Daniel",Mixed Martial Arts,not separately classified in source table,,False,pending_individual_verification,10-Month Suspension,announced,https://www.usada.org/sanction/daniel-james-accepts-doping-sanction/,True,True,daniel james,False,False
USADA,"Milani, Sydney",Bobsled,not separately classified in source table,,False,pending_individual_verification,1-Year Suspension; Loss of Results,announced,https://www.usada.org/sanction/sydney-milani-accepts-doping-sanction/,True,True,milani sydney,False,False
USADA,"Bueno, Yatan",Brazilian Jiu-Jitsu,not separately classified in source table,,False,pending_individual_verification,3-Year Suspension; Loss of Results,announced,https://www.usada.org/sanction/yatan-bueno-accepts-doping-sanction/,True,True,bueno yatan,False,False
USADA,"Silva, Fellipe Andrew Leandro",Brazilian Jiu-Jitsu,not separately classified in source table,,False,pending_individual_verification,2-Year Suspension; Loss of Results,announced,https://www.usada.org/sanction/andrew-leandro-silva-accepts-doping-sanction/,True,True,andrew fellipe leandro silva,False,False
USADA,"Smith, Michael",Snowboarding,not separately classified in source table,,False,pending_individual_verification,3-Year Suspension; Loss of Results,announced,https://www.usada.org/sanction/michael-smith-accepts-doping-sanction/,True,True,michael smith,False,False
USADA,"Ivanov, Blagoy",Mixed Martial Arts,not separately classified in source table,,False,pending_individual_verification,22-Month Suspension,announced,https://www.usada.org/sanction/blagoy-ivanov-accepts-doping-sanction/,True,True,blagoy ivanov,False,False
USADA,"Lute, Kamryn",Speedskating,not separately classified in source table,,False,pending_individual_verification,1-Year Suspension,announced,https://www.usada.org/sanction/independent-arbitrator-imposes-sanction-kamryn-lute/,True,True,kamryn lute,False,False
USADA,"Cooper, Cary",Track and Field,not separately classified in source table,,False,pending_individual_verification,2-Year Suspension; Loss of Results,announced,https://www.usada.org/sanction/cary-cooper-accepts-doping-sanction/,True,True,cary cooper,False,False
USADA,"Cappelozza, Bruno",Mixed Martial Arts,not separately classified in source table,,False,pending_individual_verification,1-Year Suspension,announced,https://www.usada.org/sanction/bruno-cappelozza-accepts-doping-sanction/,True,True,bruno cappelozza,False,False
USADA,"Maynard, Johnny",Track and Field,not separately classified in source table,,False,pending_individual_verification,3-Year Suspension; Loss of Results,announced,https://www.usada.org/sanction/johnny-maynard-accepts-doping-sanction/,True,True,johnny maynard,False,False
USADA,"de Oliveira, Uanderson Ferreira",Brazilian Jiu-Jitsu,not separately classified in source table,,False,pending_individual_verification,3-Month Suspension; Loss of Results,announced,https://www.usada.org/sanction/uanderson-ferreira-de-oliveira-accepts-doping-sanction/,True,True,de ferreira oliveira uanderson,False,False
USADA,"Smith, NaLyssa",Basketball,not separately classified in source table,,False,pending_individual_verification,Public Warning,announced,https://www.usada.org/sanction-public-warning/nalyssa-smith-accepts-public-warning/,True,True,nalyssa smith,False,False
USADA,"Saricam, Gokhan",Mixed Martial Arts,not separately classified in source table,,False,pending_individual_verification,1-Year Suspension,announced,https://www.usada.org/sanction/gokhan-saricam-accepts-doping-sanction/,True,True,gokhan saricam,False,False
USADA,*Name Removed,Artistic Swimming,not separately classified in source table,,False,pending_individual_verification,No Fault or Negligence,announced,,False,False,name removed,False,False
USADA,"Brinegar, Michael",Swimming,not separately classified in source table,,False,pending_individual_verification,4-Year Suspension; Loss of Results,announced,https://www.usada.org/sanction/michael-brinegar-receives-doping-sanction/,True,True,brinegar michael,False,False
